,category,content
989,politics," Scotland's first minister has told a group of high school pupils that it is okay to get drunk ""once in a while"".  Jack McConnell was speaking to more than 100 secondary pupils from schools in the Highlands about the problems of binge drinking and drink promotions. He has been criticised by the SNP for encouraging young people to get drunk. But the Scottish Executive has insisted Mr McConnell was speaking about adults and his comments were ""a recognition that people will get drunk"". The first minister's comments came in a question and answer session at Glenurquhart High School in Inverness, attended by pupils from a number of secondary schools. A Highland councillor who was at the event has also defended Mr McConnell. Margaret Davidson, the independent member for the Loch Ness West, said the first minister was speaking in a very general way and she was sure he was speaking about adults at the time.  When one pupil asked Mr McConnell how the executive proposed to tackle under-age drinking, began his response with the quip: ""I'm sure there's no under-age drinking in the Highlands."" He went on to speak about the evils of binge drinking and railed against irresponsible drinks promotions. He said: ""I hope I'm not going to be seen as preaching to anybody here but the really serious problem at the moment is binge drinking and the impact it has on people's health and their ability to control what's happening round about them."" Mr McConnell said he regularly saw reports on the effects of binge drinking sprees which ended in assaults or even rapes, and on the health consequences of binge drinking. ""The one thing we are going to do something really serious about is binge drinking and irresponsible drinks promotions that can help lead to that,"" he said. ""Far too many pub chains in particular are selling far too much booze far too cheaply and encouraging people to drink it far too quickly. ""We are go to clamp down on that and make those promotions illegal in the hope that people can enjoy a drink sensibly over the course of an evening.""  He added: ""By all means get drunk once in a while - but do not get into a situation where people are being encouraged to get completely incapable just to save some money and drink more quickly."" SNP Holyrood leader Nicola Sturgeon said: ""This is an incredible gaffe by Jack McConnell. ""We all know that under-age drinking is an issue in Scotland but it is quite staggering that any politician, particularly the First Minister, should encourage young people to get drunk. ""The first minister should withdraw these remarks immediately."" But an executive spokeswoman insisted Mr McConnell had made the remark with adults, not youngsters, in mind. ""He was talking in the context of adults binge drinking and irresponsible drinks promotions - which are for the over-18s,"" she said. ""It was just a recognition that people will get drunk, but that binge drinking and drinks promotions that encourage it are not acceptable."" "
1477,sport," Liverpool forward Milan Baros is uncertain whether he remains part of boss Rafa Benitez's plans after being dropped for the Carling Cup final.  Baros, who is Liverpool's leading scorer this season, denied reports of a row with Benitez but claims he is mystified at being left on the bench. He told Czech newspaper Daily Sport: ""I don't know why I didn't play on Sunday. I didn't argue with anybody. ""I was disappointed but I am not thinking of leaving right now."" The Czech international came on as a substitute after 74 minutes but could not prevent his side losing 3-2 to Chelsea after extra-time.  Baros denied suggestions he wanted to leave the Millennium Stadium before the match upon learning of his omission from the starting line-up. But his admission that he ""guessed something like this was going to happen on Saturday"", will do little to quell claims of a falling-out with Benitez. And although Baros insisted thoughts of quitting Anfield are ""not in my mind right now"", he admitted ""everything is possible"". "
949,politics," The Liberal Democrats are promising to raise the stamp duty threshold if they win the general election, in a bid to court first-time house buyers.  Vince Cable, the party's Treasury spokesman, said raising the threshold to £150,000 would prevent over 400,000 home-buyers from paying the tax. He said first-time buyers were being ""squeezed out"" of the housing market. The Labour party said the Liberal Democrats needed to explain how they would pay for the plan. The plan forms part of a wider Lib Dems policy to encourage first time buyers and those on lower incomes into the market.  Under the proposals, the average saving for a new buyer would be more than £1,000, according to Mr Cable. ""First time buyers are being squeezed out of the housing market not only by higher house prices but also by being swept into the stamp duty net,"" he said. ""By failing to uprate the stamp duty threshold Gordon Brown has hit first time buyers and those on low incomes the hardest. ""By pledging to increase the threshold to £150,000, the Liberal Democrats will make it possible for many first time buyers to buy a property without facing this tax."" Paul Boateng MP, Labour's Chief Secretary to the Treasury, said: ""The Lib Dems' sums don't add up. ""They can have no credibility until they can say how they would fund their ever growing list of tax and spending commitments."" Mr Cable will publish his ""Alternative Budget"" on Monday. "
932,politics," David Miliband's rapid rise through the ranks of government continues with his promotion to Cabinet Office minister.  Elected in a safe Labour seat in 2001 his previous job was school standards minister - a role he won in May 2002. Prior to the last election he was a key figure in New Labour as the head of the Downing Street policy unit where he was a key member of the manifesto writing team. Seen as one of the more intellectual figures in the government, he was also working for Tony Blair in his policy unit when he was leader of the opposition.  A brief glance at Mr Miliband's family background reveals an impressive socialist pedigree in the form of his father Ralph, who died in 1994. He was an eminent and influential leftwing academic. And while David Miliband is seen as a key Blair lieutenant his brother Ed is a special advisor to Chancellor Gordon Brown. Prior to working for Mr Blair, David Miliband spent time at the left-leaning Institute for Public Policy Research. He then became secretary of the Commission on Social Justice. The 39-year-old was educated at Haverstock Comprehensive before going on to Oxford to study politics, philosophy and economics. He also took an MSc in political science from the Massachusetts Institute of Technology. "
713,entertainment," US comedian Bill Cosby will not face charges stemming from an allegation of sexual misconduct.  Authorities in Philadelphia said they found insufficient evidence to support the woman's allegations regarding an alleged incident in January 2004. The woman reported the allegations to Canadian authorities last month. Cosby's lawyer, Walter M Phillips Jr, said the comedian was pleased with the decision. ""He looks forward to moving on with his life,"" he said. District Attorney Bruce L Castor Jr, who was in charge of the case, said that detectives could find no instance ""where anyone complained to law enforcement of conduct which would constitute a criminal offence.  He also said that the fact the woman waited a year before coming forward, and she had had further contact with Cosby during that time, were also factors in his decision. The unidentified woman's lawyer, Dolores M Troiani, said her client was likely to sue the comedian. ""I think that's the only avenue open to her. She felt, as we did, that it's a very strong case and she was telling the truth."" She also said that the woman supplied further evidence to prosecutors that she believed strengthened her allegations. Cosby emerged as one of the first black comics to have mainstream success in the US. He was a successful stand-up before hosting the children's show Fat Albert and the Cosby Kids, and starring in The Cosby Show, one of the biggest sitcoms of the 1980s. "
150,business," The decision to keep interest rates on hold at 4.75% earlier this month was passed 8-1 by the Bank of England's rate-setting body, minutes have shown.  One member of the Bank's Monetary Policy Committee (MPC) - Paul Tucker - voted to raise rates to 5%. The news surprised some analysts who had expected the latest minutes to show another unanimous decision. Worries over growth rates and consumer spending were behind the decision to freeze rates, the minutes showed. The Bank's latest inflation report, released last week, had noted that the main reason inflation might fall was weaker consumer spending.  However, MPC member Paul Tucker voted for a quarter point rise in interest rates to 5%. He argued that economic growth was picking up, and that the equity, credit and housing markets had been stronger than expected.  The Bank's minutes said that risks to the inflation forecast were ""sufficiently to the downside"" to keep rates on hold at its latest meeting. However, the minutes added: ""Some members noted that an increase might be warranted in due course if the economy evolved in line with the central projection"". Ross Walker, UK economist at Royal Bank of Scotland, said he was surprised that a dissenting vote had been made so soon. He said the minutes appeared to be ""trying to get the market to focus on the possibility of a rise in rates"". ""If the economy pans out as they expect then they are probably going to have to hike rates."" However, he added, any rate increase is not likely to happen until later this year, with MPC members likely to look for a more sustainable pick up in consumer spending before acting. "
1693,sport," England beat Fiji 26-21 in a dramatic final in Dubai to win the first IRB Sevens event of the season.  Having beaten Australia and South Africa to reach the final, England fell behind to an early try against Fiji. They then took charge with scores from Pat Sanderson, Kai Horstman, Mathew Tait and Rob Thirlby, but Fiji rallied to force a tense finale. Scotland were beaten 33-15 by Samoa in the plate semi-final and Ireland lost 17-5 to Tunisia in the shield final. Mike Friday's England side matched their opponents for pace, power and skill in the final and led 19-7 at half-time. But Neumi Nanuku and Marika Vakacegu touched down for Fiji, only for a needless trip by Tuidriva Bainivalu on Geoff Appleford to allow England to run down the clock. ""To be honest, England have wanted to win in Dubai for a very long time now, and the people here have wanted us to win for just as long,"" said Friday.  ""We didn't want to put pressure on ourselves but we are thankful we have achieved that and brought through some young talent at the same time that can hopefully play for the England '15s' in a few years."" Portugal confirmed their impressive progress in Sevens rugby by recording a sudden-death win over France in the bowl final. Samoa won the plate title by edging out Argentina 21-19.  "
1428,sport," Manchester City's Paul Bosvelt will find out ""within a month"" whether he is to be offered a new one-year deal.  The 34-year-old Dutch midfielder is out of contract in the summer and, although his age may count against him, he feels he can play on for another season. ""I told the club I would like to stay for one more year. They promised me an answer within the next month so I am waiting to see,"" he said. ""The main concern is my age but I think I have proved I am fit enough. Bosvelt joined City from Feyenoord in 2003 and at first he struggled to adapt to life in England. But his professionalism and dedication impressed manager Kevin Keegan. ""He realised the pace of the game was faster than anything he was used to but he drove himself back into the team. He is an unsung hero,"" said Keegan. "
901,politics," The initial attempt to sell the Millennium Dome failed due to a catalogue of errors, a report by the government's finance watchdog says.  The report said too many parties were involved in decision-making when the attraction first went on sale after the Millennium exhibition ended. The National Audit Office said the Dome cost taxpayers £28.7m to maintain and sell in the four years after it closed. Finally, a deal to turn it into a sport and entertainment venue was struck. More than £550m could now be returned to the public sector in the wake of the deal to regenerate the site in Greenwich, London.  The NAO report said that this sale went through because it avoided many of the problems of the previous attempt to sell the Dome. Deputy Prime Minister John Prescott said a good deal had been secured. ""Delivery of the many benefits secured through this deal will continue the substantial progress already made at the Millennium Village and elsewhere on the peninsula,"" he said. But Edward Leigh, who is chairman of the Commons public accounts committee, warned the government would have to work hard to ensure taxpayers would get full benefit from the Dome deal. He said: ""This report also shows that the first attempt to sell the Dome proved a complete fiasco. Every arm of government seems to have had a finger in the pie. The process was confused and muddled."" He added: ""Four years after the Millennium Exhibition closed, the Government finally has a deal to find a use for what has been a white elephant since it closed in a deal that, incredible as it may seem, should bring in some money and provide a benefit for the local area and the country as whole. However, it was more a question of luck that a strong bid turned up after thefirst abortive attempt."" NAO head Sir John Bourn said: ""In difficult circumstances following the failure of the first competition, English Partnerships and the office of the deputy prime minister have worked hard to get a deal."" "
416,business," Shares in UK banking group Barclays have risen on Monday following a weekend press report that it had held merger talks with US bank Wells Fargo.  A tie-up between Barclays and California-based Wells Fargo would create the world's fourth biggest bank, valued at $180bn (£96bn). Barclays has declined to comment on the report in the Sunday Express, saying it does not respond to market speculation. The two banks reportedly held talks in October and November 2004.  Barclays shares were up 8 pence, or 1.3%, at 605 pence by late morning in London on Monday, making it the second biggest gainer in the FTSE 100 index. UK banking icon Barclays was founded more than 300 years ago; it has operations in over 60 countries and employs 76,200 staff worldwide. Its North American divisions focus on business banking, whereas Wells Fargo operates retail and business banking services from 6,000 branches. In 2003, Barclays reported a 20% rise in pre-tax profits to £3.8bn, and it has recently forecast similar gains in 2004, predicting that full year pre-tax profits would rise 18% to £4.5bn. Wells Fargo had net income of $6.2bn in its last financial year, a 9% increase on the previous year, and revenues of $28.4bn. Barclays was the focus of takeover speculation in August, when it was linked to Citigroup, though no bid has ever materialised. Stock market traders were sceptical that the latest reports heralded a deal. ""The chief executive would be abandoning his duty if he didn't talk to rivals, but a deal doesn't seem likely,"" Reuters quoted one trader as saying. "
