,text,label
11685,"Recent gains in US payrolls, including a stronger-than-expected June advance, probably exaggerate current employment growth, according to Goldman Sachs  https://t.co/mpnJqYMQXq",14
6852,IntegraGen reports 6.4 M€ in revenues for the first half of 2022 representing 34% growth compared to H1 2021. Cash position of 4.5 M€.  https://t.co/qZd9GpKhw3  https://t.co/QBzso8KWeD,7
1493,TIBCO Cloud Integration Unlocks the Power of Real-Time Data with Breakthrough iPaaS Capabilities  https://t.co/CDj1NJCwYE  https://t.co/xaPAk4ZpDm,2
11476,China’s record trade surplus shows exports stayed resilient after lockdowns were lifted  https://t.co/X9jRhAftGV,14
2333,Starbucks plans to close 16 stores over safety concerns  https://t.co/xea843DPBI,2
4959,$STT - State Street Q2 2022 Earnings Preview  https://t.co/j7xcgk7BWa,5
6067,"India’s central bank may need to raise interest rates more aggressively to anchor inflation within its 2%-6% target, according to Shashanka Bhide, a member of the rate-setting panel  https://t.co/MvQoUFG09h",1
10343,"State Street CEO Ron O’Hanley said the US is likely to dip into an “old-fashioned” type of recession, perhaps starting late this year, as inventories build up in face of weakening demand  https://t.co/FyFv4fdwmj",14
7612,"As a recession looms over markets, here’s what Wall Street heavy hitters say are the next big risks for investors.  Read The Big Take ⬇️  https://t.co/CrxUPRAFPU",9
13750,"$QQQ $SPY paused at overhead resistance. See if they consolidate a little next, or not. Chart in thread. ECB mtg tmrw.  Will update charts tonight.",18
10432,China’s trade surplus hit a record high in June as exports surged after Shanghai emerged from its crippling Covid lockdown and outbreaks eased  https://t.co/IXM34aZHA4,14
9582,"Ardurra Group, Inc. Acquires 300 Engineering Group, P.A.  https://t.co/E3rFEgHqXc  https://t.co/corwy5BXvo",13
8169,The WHO is urging governments and health care systems to take steps to curb Covid-19 transmission as a fresh wave of infections moves across Europe and the US  https://t.co/GmmLqmvuSM,9
9488,$GSK: GlaxoSmithKline completes demerger of Haleon and share consolidation of GSK  https://t.co/JFxhGAzDZx,13
5015,$STLFF - Stillfront Group AB (publ) 2022 Q2 - Results - Earnings Call Presentation.  https://t.co/8nDxZFZYlm #trading #stockmarket #stocks,5
1386,Amazon Targets Fake Review Fraudsters on Social Media  https://t.co/Yv8xJpwcSl  https://t.co/7VMYxexxT6,2
11593,"China spent 72% more on Russian energy purchases in June from a year earlier, as higher prices due to the war in Ukraine raised its import bill  https://t.co/3csGevDavn",14
16868,"JPMorgan’s Kolanovic Hedges Risk-On Wager, Cuts Corporate Debt - BBG   https://t.co/Flf7gOFtil",3
14551,Boeing stock has been rallying nicely over the past month -- and the rally may not be done just yet  https://t.co/d4SYigFMx4,18
4245,$ACLLF - Atco declares CAD 0.4617 dividend  https://t.co/imLcVlobF4,4
5514,"U.S. CRUDE PRODUCTION DROPS BY 100,000 BARRELS PER DAY TO 12 MLN BPD LAST WEEK - EIA",6
6683,Goldman-backed digital bank Starling reports its first annual profit as other fintechs stumble  https://t.co/CuCbfcyBy0,7
13029,"“Drug pricing reform polls extremely well and has consistently been the most popular piece of the entire BBB package with voters,” one analyst wrote.  https://t.co/QvJl5AO2gz",16
15093,"$TWLO - Twilio: A Speculative Buy, Here's Why.  https://t.co/8k2TRzGSGm #trading #stockmarket #business",18
6305,BoJ Gov Kuroda: No Intention To Raise Interest Rates Under Yield Curve Control,1
15543,$TCEHY - Tencent Should Improve Communication With Investors.  https://t.co/kWitssVvz0 #business #finance #investing,18
16611,Valneva falls as much as 15% after the EU slashed its order of the French company’s Covid-19 vaccine  https://t.co/396IX3ul3g,19
6395,Central bank policy in Europe and Japan has lent strength to the US dollar. Is the Fed about to offer the dollar a further boost? Presented by @CMEGroup  https://t.co/pB4RDfzno0,1
2511,$VYGVQ - FTX reportedly looks to raise funds after rescuing troubled crypto firms  https://t.co/HXoMPp5tgb,2
11075,Turkish Industrial Production (M/M) May: 0.5% (est -0.3%; prev 0.0%)  - Turkish Industrial Production (Y/Y) May: 9.1% (est 8.0%; prev 10.8%),14
